Generation,Highest Fp,Average Fp,Iteration,Fp
152,5.40448E+11,5.18411E+11,10.01492537,1.34425E+11
153,5.40448E+11,5.14202E+11,10.07462687,1.23453E+11
154,5.40448E+11,5.21734E+11,10.13432836,1.44942E+11
155,5.40448E+11,2.78938E+11,10.19402985,1.3772E+11
156,5.40448E+11,3.39484E+11,10.25373134,1.34873E+11
157,5.40448E+11,1.07938E+11,10.31343284,1.11638E+11
158,5.40448E+11,2.17288E+11,10.37313433,1.31049E+11
159,5.40448E+11,3.74427E+11,10.43283582,1.39724E+11
160,5.40448E+11,3.24474E+11,10.49253731,1.16331E+11
161,5.40448E+11,1.94779E+11,10.55223881,1.38271E+11
162,5.40448E+11,2.05212E+11,10.6119403,87926213519
163,5.40448E+11,3.46358E+11,10.67164179,1.21329E+11
164,5.40448E+11,4.86119E+11,10.73134328,1.44147E+11
165,6.06609E+11,3.05516E+11,10.79104478,1.38474E+11
166,6.06609E+11,3.22329E+11,10.85074627,1.0701E+11
167,6.06609E+11,2.14156E+11,10.91044776,1.31049E+11
168,6.06715E+11,2.2349E+11,10.97014925,1.3082E+11
169,6.06715E+11,1.68532E+11,11.02985075,1.33453E+11
170,6.06715E+11,2.41698E+11,11.08955224,1.38365E+11
171,6.06715E+11,2.15545E+11,11.14925373,1.53025E+11
172,6.06715E+11,1.41656E+11,11.20895522,1.05614E+11
173,6.06715E+11,1.1132E+11,11.26865672,1.3079E+11
174,6.06715E+11,1.59217E+11,11.32835821,1.29989E+11
175,6.06715E+11,3.374E+11,11.3880597,1.39039E+11
176,6.06715E+11,4.7623E+11,11.44776119,1.38344E+11
177,6.06715E+11,4.38384E+11,11.50746269,1.29638E+11
178,6.06715E+11,4.27005E+11,11.56716418,1.40354E+11
179,6.08428E+11,4.78414E+11,11.62686567,1.39724E+11
180,6.08428E+11,5.09813E+11,11.68656716,1.38474E+11
181,6.08428E+11,3.88272E+11,11.74626866,1.13485E+11
182,6.08428E+11,4.72166E+11,11.80597015,1.49733E+11
183,6.08428E+11,2.95422E+11,11.86567164,1.29846E+11
184,6.08428E+11,1.21423E+11,11.92537313,1.3772E+11
185,6.08428E+11,2.45537E+11,11.98507463,1.43756E+11
186,6.08428E+11,2.66979E+11,12.04477612,1.38474E+11
187,6.53528E+11,3.37495E+11,12.10447761,1.39162E+11
188,6.53528E+11,3.39443E+11,12.1641791,1.3361E+11
189,6.54485E+11,2.77786E+11,12.2238806,99983502527
190,6.54485E+11,2.44404E+11,12.28358209,1.56476E+11
191,6.54485E+11,2.56728E+11,12.34328358,1.02787E+11
192,6.54485E+11,3.45139E+11,12.40298507,1.14067E+11
193,6.54485E+11,3.62513E+11,12.46268657,1.36125E+11
194,6.54485E+11,3.96671E+11,12.52238806,1.44147E+11
195,6.54485E+11,6.16787E+11,12.58208955,1.44147E+11
196,6.54485E+11,3.17101E+11,12.64179104,1.18665E+11
197,6.55484E+11,1.95744E+11,12.70149254,1.44147E+11
198,6.55484E+11,1.6131E+11,12.76119403,1.1087E+11
199,6.55484E+11,2.66083E+11,12.82089552,1.44942E+11
200,6.55484E+11,2.48541E+11,12.88059701,1.363E+11
201,6.55484E+11,3.52704E+11,12.94029851,96928237805
202,6.55484E+11,2.0136E+11,13,1.79812E+11
203,6.55484E+11,1.76332E+11,13.06947891,1.33604E+11
204,6.55484E+11,1.15659E+11,13.13895782,1.47163E+11
205,6.55484E+11,98322652092,13.20843672,1.38126E+11
206,6.55484E+11,98322652092,13.27791563,1.45085E+11
207,6.55484E+11,65548434728,13.34739454,1.45085E+11
208,6.55484E+11,98322652092,13.41687345,1.56818E+11
209,6.55484E+11,1.31097E+11,13.48635236,1.39422E+11
210,6.55484E+11,1.63871E+11,13.55583127,1.44147E+11
211,6.55484E+11,1.31097E+11,13.62531017,1.56785E+11
212,6.55484E+11,65548434728,13.69478908,1.46449E+11
213,6.55484E+11,98322652092,13.76426799,1.16889E+11
214,6.55484E+11,1.99956E+11,13.8337469,1.53025E+11
215,6.55484E+11,3.05802E+11,13.90322581,1.42651E+11
216,6.55484E+11,3.40629E+11,13.97270471,1.5666E+11
217,6.55484E+11,4.51075E+11,14.04218362,1.46653E+11
218,6.55484E+11,4.41423E+11,14.11166253,1.57292E+11
219,6.55484E+11,3.19802E+11,14.18114144,1.44943E+11
220,6.55484E+11,3.77838E+11,14.25062035,1.56659E+11
221,6.55484E+11,3.29401E+11,14.32009926,1.56659E+11
222,6.55484E+11,4.96396E+11,14.38957816,1.46449E+11
223,6.55484E+11,2.50043E+11,14.45905707,1.56785E+11
224,6.55484E+11,3.83338E+11,14.52853598,1.46449E+11
225,6.55484E+11,3.7737E+11,14.59801489,1.36228E+11
226,6.55484E+11,4.26126E+11,14.6674938,1.65247E+11
227,6.55484E+11,2.80355E+11,14.7369727,1.56831E+11
228,6.55484E+11,2.60837E+11,14.80645161,1.67122E+11
229,6.55484E+11,1.68584E+11,14.87593052,1.56785E+11
230,6.55484E+11,2.05252E+11,14.94540943,1.56785E+11
231,6.55484E+11,2.49562E+11,15.01488834,1.47133E+11
232,6.55484E+11,3.39601E+11,15.08436725,83112217414
233,6.55484E+11,4.25098E+11,15.15384615,1.79778E+11
234,6.55484E+11,3.51327E+11,15.22332506,92490069039
235,6.55484E+11,3.18949E+11,15.29280397,1.5298E+11
236,6.55484E+11,3.65653E+11,15.36228288,1.04897E+11
237,6.55557E+11,5.22921E+11,15.43176179,1.79812E+11
238,6.55557E+11,2.64858E+11,15.50124069,1.17271E+11
239,6.55557E+11,3.40037E+11,15.5707196,1.79812E+11
240,6.55557E+11,3.28128E+11,15.64019851,1.35302E+11
