Generation,Highest Fp,Average Fp
138,57242456530,25745334643
139,57242456530,14141447723
140,57242456530,33765047433
141,57242456530,23760051018
142,57242456530,14309524459
143,57242456530,12684281255
144,57242456530,19921528648
145,57242456530,27262030966
146,57242456530,30336771573
147,57242456530,31923887451
148,57242456530,30192326145
149,57242456530,26780456955
150,57242456530,21947833733
151,57242456530,11448491306
152,57242456530,8586368480
153,57242456530,18221697808
154,57242456530,11446307313
155,57242456530,5724245653
156,57242456530,14310614133
157,57242456530,8586368480
158,57242456530,11448491306
159,57242456530,8586368480
160,57242456530,11448491306
161,57242456530,11448491306
162,57242456530,11448491306
163,57242456530,14310614133
164,57242456530,11448491306
165,57242456530,5724245653
166,57242456530,11448491306
167,57242456530,11448491306
168,57242456530,8586368480
169,57242456530,8586368480
170,57242456530,8586368480
171,57242456530,5724245653
172,57242456530,5724245653
173,57242456530,5724245653
174,57242456530,5724245653
175,57242456530,14310614133
176,57242456530,8586368480
177,57242456530,5724245653
178,57242456530,11448491306
179,57242456530,14310614133
180,57242456530,8586368480
181,57242456530,8586368480
182,57242456530,11448491306
183,57242456530,8586368480
184,57242456530,11448491306
185,57242456530,8586368480
186,57242456530,5724245653
187,57242456530,5724245653
188,57242456530,8586368480
189,57242456530,11448491306
190,57242456530,11448491306
191,57242456530,23534700134
192,57242456530,33748996502
193,57242456530,24389448655
194,57242456530,20550359518
195,57242456530,19893518450
196,57242456530,24018339830
197,57242456530,15442105473
198,57242456530,19016737599
199,57242456530,13396876117
200,57242456530,11448491306
201,57242456530,18451587977
202,57242456530,27758538174
203,57242456530,34101865384
204,57242456530,38922645721
205,57242456530,23462507197
206,57242456530,31024289984
207,57242456530,18032353942
208,1.19861E+12,1.8954E+11
209,1.3098E+12,7.94205E+11
210,1.3098E+12,8.23894E+11
211,1.3098E+12,9.45937E+11
212,1.51969E+12,1.19878E+12
213,1.51969E+12,1.10538E+12
214,1.6324E+12,1.3248E+12
215,1.65823E+12,1.1624E+12
216,1.65823E+12,1.07643E+12
217,1.74625E+12,1.40803E+12
218,1.74625E+12,1.3848E+12
219,1.74625E+12,1.33934E+12
220,1.74625E+12,1.22391E+12
221,1.74625E+12,1.34811E+12
222,1.74625E+12,1.50037E+12
223,1.77061E+12,1.42802E+12
224,1.77061E+12,1.65368E+12
225,2.13681E+12,1.70856E+12
226,2.13681E+12,1.17781E+12
227,2.13681E+12,1.36382E+12
228,2.13681E+12,1.42784E+12
229,2.14796E+12,1.77093E+12
230,2.17131E+12,1.72948E+12
231,2.17131E+12,1.63286E+12
232,2.17546E+12,1.89942E+12
233,2.17756E+12,1.68511E+12
234,2.19026E+12,2.08393E+12
235,2.19026E+12,1.42308E+12
236,2.19208E+12,1.62932E+12
237,2.19208E+12,1.66741E+12
238,2.19208E+12,1.83343E+12
239,2.19669E+12,1.93086E+12
240,2.19669E+12,1.82379E+12
241,2.61257E+12,1.96449E+12
242,2.61257E+12,1.75191E+12
243,2.71244E+12,1.91208E+12
244,2.71244E+12,2.2446E+12
245,2.71244E+12,1.75607E+12
246,2.721E+12,2.37724E+12
247,2.721E+12,2.21086E+12
248,2.721E+12,2.71629E+12
249,2.721E+12,1.50638E+12
250,2.721E+12,2.36245E+12
