Generation,Fcalc,Qfactor,Vm
13.20843672,1.452829,42685.67619,3.09E-07
13.27791563,1.452953,42766.52511,2.95E-07
13.34739454,1.452953,42766.52511,2.95E-07
13.41687345,1.450628,45262.72856,2.89E-07
13.48635236,1.449984,42206.75059,3.03E-07
13.55583127,1.450009,42822.73237,2.97E-07
13.62531017,1.450005,45253.01613,2.89E-07
13.69478908,1.450007,43654.17962,2.98E-07
13.76426799,1.444323,39614.39242,3.39E-07
13.8337469,1.450003,43508.01448,2.84E-07
13.90322581,1.450039,42668.38713,2.99E-07
13.97270471,1.447712,45217.06532,2.89E-07
14.04218362,1.450007,43500.4935,2.97E-07
14.11166253,1.459417,45399.39729,2.89E-07
14.18114144,1.450002,42724.4164,2.95E-07
14.25062035,1.447682,45216.59737,2.89E-07
14.32009926,1.447682,45216.59737,2.89E-07
14.38957816,1.450007,43654.17943,2.98E-07
14.45905707,1.450005,45253.01438,2.89E-07
14.52853598,1.450007,43654.17962,2.98E-07
14.59801489,1.450009,41582.95751,3.05E-07
14.6674938,1.449975,46187.74019,2.80E-07
14.7369727,1.450859,45266.33537,2.89E-07
14.80645161,1.449995,44021.92926,2.63E-07
14.87593052,1.450004,45252.99729,2.89E-07
14.94540943,1.450004,45252.99729,2.89E-07
15.01488834,1.449374,42662.75639,2.90E-07
15.08436725,1.449999,33197.57785,3.99E-07
15.15384615,1.449456,46935.9335,2.61E-07
15.22332506,1.449979,35204.04782,3.81E-07
15.29280397,1.450003,42385.03839,2.77E-07
15.36228288,1.449997,33859.00672,3.23E-07
15.43176179,1.450008,46944.86896,2.61E-07
15.50124069,1.450009,41109.41191,3.51E-07
15.5707196,1.450003,46944.78556,2.61E-07
15.64019851,1.450007,44528.40221,3.29E-07
15.70967742,1.449984,46944.46852,2.61E-07
15.77915633,1.443655,37724.65894,3.05E-07
15.84863524,1.449984,46944.46852,2.61E-07
15.91811414,1.449984,46944.46852,2.61E-07
15.98759305,1.449984,46944.46852,2.61E-07
16.05707196,1.449983,41332.28764,2.98E-07
16.12655087,1.450003,44544.62442,3.23E-07
16.19602978,1.449992,43643.16144,2.86E-07
16.26550868,1.450022,49433.13323,2.78E-07
16.33498759,1.449992,43540.89515,2.83E-07
16.4044665,1.452111,43617.76292,2.83E-07
16.47394541,1.449976,46040.08011,2.77E-07
16.54342432,1.44999,38174.90565,3.07E-07
16.61290323,1.449995,39854.98494,3.13E-07
16.68238213,1.450008,39228.4364,3.53E-07
16.75186104,1.449999,42452.10823,2.84E-07
16.82133995,1.450003,42332.58956,2.78E-07
16.89081886,1.449989,47181.97099,2.58E-07
16.96029777,1.446686,46891.17047,2.61E-07
17.02977667,1.450007,43759.20493,2.81E-07
17.09925558,1.449989,46944.55705,2.61E-07
17.16873449,1.450015,45652.49663,2.89E-07
17.2382134,1.440016,46782.86106,2.61E-07
17.30769231,1.443304,47072.98667,2.58E-07
17.37717122,1.449993,43540.90872,2.83E-07
17.44665012,1.449984,46944.46665,2.61E-07
17.51612903,1.449984,46944.46665,2.61E-07
17.58560794,1.450002,38983.53297,3.14E-07
17.65508685,1.450013,46944.9449,2.61E-07
17.72456576,1.450003,42332.58883,2.78E-07
17.79404467,1.449982,46944.43541,2.61E-07
17.86352357,1.449997,41382.64139,3.28E-07
17.93300248,1.450008,46944.8574,2.61E-07
18.00248139,1.450008,46944.8574,2.61E-07
18.0719603,1.450008,46944.8574,2.61E-07
18.14143921,1.450008,46944.8574,2.61E-07
18.21091811,1.452252,34362.5626,3.41E-07
18.28039702,1.453318,47235.98438,2.58E-07
18.34987593,1.45002,38983.41902,3.09E-07
18.41935484,1.450003,46944.78621,2.61E-07
18.48883375,1.450003,46944.78621,2.61E-07
18.55831266,1.450003,46944.78621,2.61E-07
18.62779156,1.450003,46944.78621,2.61E-07
18.69727047,1.450003,46944.78621,2.61E-07
18.76674938,1.450003,46944.78621,2.61E-07
18.83622829,1.450007,43161.98278,2.53E-07
18.9057072,1.450013,46944.94916,2.61E-07
18.9751861,1.450013,46944.94916,2.61E-07
19.04466501,1.450013,46944.94916,2.61E-07
19.11414392,1.450013,46944.94916,2.61E-07
19.18362283,1.453324,47236.0767,2.58E-07
19.25310174,1.450013,46944.94916,2.61E-07
19.32258065,1.453324,47236.0767,2.58E-07
19.39205955,1.453324,47236.0767,2.58E-07
19.46153846,1.450013,46944.94916,2.61E-07
19.53101737,1.453324,47236.0767,2.58E-07
19.60049628,1.453324,47236.0767,2.58E-07
19.66997519,1.453324,47236.0767,2.58E-07
19.73945409,1.450013,46944.94916,2.61E-07
19.808933,1.450013,46944.94916,2.61E-07
19.87841191,1.453324,47236.0767,2.58E-07
19.94789082,1.453324,47236.0767,2.58E-07
20.01736973,1.453324,47236.0767,2.58E-07
20.08684864,1.442267,44152.98747,2.65E-07
20.15632754,1.453324,47236.0767,2.58E-07
20.22580645,1.449995,41347.71994,2.86E-07
20.29528536,1.449986,47181.91833,2.58E-07
20.36476427,1.449986,47181.91833,2.58E-07
20.43424318,1.449986,47181.91833,2.58E-07
20.50372208,1.449986,47181.91833,2.58E-07
20.57320099,1.450007,45107.90203,2.74E-07
20.6426799,1.450004,40978.46846,3.01E-07
20.71215881,1.449985,47181.91717,2.58E-07
20.78163772,1.449985,47181.91717,2.58E-07
20.85111663,1.449985,47181.91717,2.58E-07
20.92059553,1.446683,46891.11698,2.61E-07
20.99007444,1.449985,47181.91717,2.58E-07
21.05955335,1.449985,47181.91717,2.58E-07
21.12903226,1.449985,47181.91717,2.58E-07
21.19851117,1.449985,47181.91717,2.58E-07
21.26799007,1.449999,35293.96734,3.51E-07
21.33746898,1.441604,47044.90908,2.58E-07
21.40694789,1.441604,47044.90908,2.58E-07
21.4764268,1.441604,47044.90908,2.58E-07
21.54590571,1.441604,47044.90908,2.58E-07
21.61538462,1.441604,47044.90908,2.58E-07
21.68486352,1.441604,47044.90908,2.58E-07
21.75434243,1.441604,47044.90908,2.58E-07
21.82382134,1.441604,47044.90908,2.58E-07
21.89330025,1.441604,47044.90908,2.58E-07
21.96277916,1.441604,47044.90908,2.58E-07
22.03225806,1.441604,47044.90908,2.58E-07
22.10173697,1.441604,47044.90908,2.58E-07
22.17121588,1.441604,47044.90908,2.58E-07
22.24069479,1.441604,47044.90908,2.58E-07
22.3101737,1.441604,47044.90908,2.58E-07
22.37965261,1.441604,47044.90908,2.58E-07
22.44913151,1.441604,47044.90908,2.58E-07
22.51861042,1.449978,45505.04083,2.70E-07
22.58808933,1.449999,34239.14315,3.91E-07
22.65756824,1.450008,47182.28144,2.58E-07
22.72704715,1.449999,41440.50075,3.40E-07
22.79652605,1.449981,47181.84394,2.58E-07
22.86600496,1.449981,47181.84394,2.58E-07
22.93548387,1.449981,47181.84394,2.58E-07
23.00496278,1.449981,47181.84394,2.58E-07
23.07444169,1.449989,44806.83424,2.77E-07
23.1439206,1.449984,33056.30028,3.84E-07
23.2133995,1.450009,48620.52309,2.63E-07
23.28287841,1.449981,47181.84482,2.58E-07
23.35235732,1.449981,47181.84482,2.58E-07
23.42183623,1.450014,46586.77328,2.50E-07
23.49131514,1.450014,47182.37563,2.58E-07
23.56079404,1.450014,47182.37563,2.58E-07
23.63027295,1.450014,47182.37563,2.58E-07
23.69975186,1.450014,47182.37563,2.58E-07
23.76923077,1.446711,46891.57261,2.61E-07
23.83870968,1.450014,47182.37563,2.58E-07
23.90818859,1.450014,47182.37563,2.58E-07
23.97766749,1.449996,39992.18319,2.70E-07
24.0471464,1.450013,46103.41998,2.63E-07
24.11662531,1.450626,47192.28395,2.58E-07
24.18610422,1.450626,47192.28395,2.58E-07
24.25558313,1.450009,48620.52346,2.63E-07
24.32506203,1.449981,47181.84482,2.58E-07
24.39454094,1.449981,47181.84482,2.58E-07
24.46401985,1.450009,48620.5234,2.63E-07
24.53349876,1.449979,46586.21639,2.50E-07
24.60297767,1.450014,47182.37563,2.58E-07
24.67245658,1.450014,46586.77328,2.50E-07
24.74193548,1.450014,47182.37563,2.58E-07
24.81141439,1.450014,46586.77328,2.50E-07
24.8808933,1.450014,47182.37563,2.58E-07
24.95037221,1.450014,47182.37563,2.58E-07
25.01985112,1.450014,47182.37563,2.58E-07
25.08933002,1.450014,47182.37563,2.58E-07
25.15880893,1.450014,47182.37563,2.58E-07
25.22828784,1.450009,48620.52341,2.63E-07
25.29776675,1.449981,47181.84482,2.58E-07
25.36724566,1.450014,46586.77328,2.50E-07
25.43672457,1.450014,46586.77328,2.50E-07
25.50620347,1.450009,48620.52212,2.63E-07
25.57568238,1.450005,40553.21406,2.97E-07
25.64516129,1.450012,46586.74295,2.50E-07
25.7146402,1.450006,36971.6686,2.97E-07
25.78411911,1.449996,44888.84594,2.55E-07
25.85359801,1.449968,42818.37455,2.87E-07
25.92307692,1.450003,47182.20922,2.58E-07
25.99255583,1.449979,41694.68156,2.85E-07
26.06203474,1.450014,47182.37518,2.58E-07
26.13151365,1.450014,46586.77328,2.50E-07
26.20099256,1.449981,43668.96534,3.00E-07
26.27047146,1.450011,47113.67764,2.75E-07
26.33995037,1.450013,46586.77049,2.50E-07
26.40942928,1.449951,36172.97859,3.90E-07
26.47890819,1.449982,46586.26337,2.50E-07
26.5483871,1.449982,46586.26337,2.50E-07
26.617866,1.450004,47863.04478,2.56E-07
26.68734491,1.449977,46586.18878,2.50E-07
26.75682382,1.450004,47863.04478,2.56E-07
26.82630273,1.459135,47336.55284,2.58E-07
26.89578164,1.449977,46586.18878,2.50E-07
26.96526055,1.449977,46586.18878,2.50E-07
27.03473945,1.450014,47182.37563,2.58E-07
27.10421836,1.450014,46586.77328,2.50E-07
27.17369727,1.450009,48620.52212,2.63E-07
27.24317618,1.449979,46586.21639,2.50E-07
27.31265509,1.450004,47863.04478,2.56E-07
27.382134,1.449977,46586.18878,2.50E-07
27.4516129,1.449977,46586.18878,2.50E-07
27.52109181,1.450012,46357.56338,2.71E-07
27.59057072,1.450003,46586.59875,2.50E-07
27.66004963,1.449999,34950.51457,3.10E-07
27.72952854,1.449982,37503.07295,3.18E-07
27.79900744,1.450003,46586.59828,2.50E-07
27.86848635,1.449996,39539.17507,2.96E-07
27.93796526,1.450012,46586.74905,2.50E-07
28.00744417,1.449991,43573.12858,2.62E-07
28.07692308,1.449986,50940.477,2.54E-07
28.14640199,1.450003,44531.33572,2.85E-07
28.21588089,1.449984,46586.2953,2.50E-07
28.2853598,1.450004,47863.04478,2.56E-07
28.35483871,1.449977,46586.18878,2.50E-07
28.42431762,1.450004,47863.04478,2.56E-07
28.49379653,1.450005,51113.72819,2.51E-07
28.56327543,1.449999,39322.46172,3.50E-07
28.63275434,1.456407,46688.97212,2.50E-07
28.70223325,1.457585,45940.86545,2.77E-07
28.77171216,1.450004,47863.0453,2.56E-07
28.84119107,1.449977,46586.18878,2.50E-07
28.91066998,1.449946,40420.90993,3.01E-07
28.98014888,1.449994,47862.88261,2.56E-07
29.04962779,1.449977,46586.18878,2.50E-07
29.1191067,1.450004,47863.04478,2.56E-07
