Generation,Alpha
180.7271116,1.648215
180.8741878,1.548308
181.021264,1.484607
181.1683402,1.924615
181.3154164,1.707206
181.4624926,1.619587
181.6095688,1.504394
181.756645,1.68346
181.9037212,1.680142
182.0507974,1.817068
182.1978736,1
182.3449498,1.649283
182.492026,1.817063
182.6391022,1.394805
182.7861784,1.78664
182.9332546,1.514683
183.0803308,1.577013
183.227407,1.714403
183.3744832,1.924599
183.5215594,2.105594
183.6686356,1.313894
183.8157118,1.619585
183.962788,1.680214
184.1098641,1.852106
184.2569403,1.530248
184.4040165,1.597037
184.5510927,1.868483
184.6981689,1.345689
184.8452451,1.666566
184.9923213,1
185.1393975,1.881844
185.2864737,1.29692
185.4335499,2.105596
185.5806261,1.139094
185.7277023,1.688191
185.8747785,1.611225
186.0218547,1.672616
186.1689309,1.322085
186.3160071,1.868485
186.4630833,1
186.6101595,1.55608
186.7572357,1.780997
186.9043119,1.868475
187.0513881,1
187.1984643,1.122576
187.3455405,1.771375
187.4926167,1.489587
187.6396929,1.868472
187.786769,1.64346
187.9338452,1.73472
188.0809214,1
188.2279976,1.569696
188.3750738,1.868463
188.52215,1
188.6692262,1.243346
188.8163024,1.615867
188.9633786,1.471688
189.1104548,1.719501
189.257531,1.912387
189.4046072,1.724825
189.5516834,1.648467
189.6987596,1.724827
189.8458358,1.759676
189.992912,1.519923
190.1399882,1.868472
190.2870644,1.569737
190.4341406,1.615942
190.5812168,1.757314
190.728293,1.36733
190.8753692,1.041233
191.0224454,1.561848
191.1695216,1.868477
191.3165978,1.584588
191.463674,1.648457
191.6107501,1.611921
191.7578263,1.548576
191.9049025,1.716281
192.0519787,1.246304
192.1990549,1.413628
192.3461311,1.868473
192.4932073,1.498012
192.6402835,1.611942
192.7873597,1.578718
192.9344359,1.413649
193.0815121,1.724783
193.2285883,1.416855
193.3756645,1.620959
193.5227407,1.67707
193.6698169,1.460571
193.8168931,1.606413
193.9639693,1.82939
194.1110455,1.675673
194.2581217,1.599224
194.4051979,1
194.5522741,1.648443
194.6993503,1.724804
194.8464265,1
194.9935027,1.572041
195.1405789,1.757326
195.2876551,1.683152
195.4347312,1.648467
195.5818074,1.78093
195.7288836,1.919185
195.8759598,1.592622
196.023036,1
196.1701122,1.868482
196.3171884,1
196.4642646,1
196.6113408,1.370418
196.758417,1.671302
196.9054932,1.597975
197.0525694,1
197.1996456,1.778607
197.3467218,1.648467
197.493798,1.6819
197.6408742,1.757362
197.7879504,1.678993
197.9350266,1.654062
198.0821028,1.501444
198.229179,1.757329
198.3762552,1.501439
198.5233314,1.654063
198.6704076,1.488034
198.8174838,1.977134
198.96456,1.679086
199.1116361,1.83285
199.2587123,1.308937
199.4057885,1.868486
199.5528647,1
199.6999409,1
199.8470171,1
199.9940933,1.740324
200.1411695,1.963059
200.2882457,1.752682
200.4353219,1.738534
200.5823981,1.740209
200.7294743,1.770649
200.8765505,1.711038
201.0236267,1.583485
201.1707029,1.868469
201.3177791,1.622515
201.4648553,1.827802
201.6119315,1.918852
201.7590077,1.770714
201.9060839,1.359806
202.0531601,1.629324
202.2002363,1.549239
202.3473125,1.722673
202.4943887,2.344836
202.6414649,1.522142
202.7885411,2.3444
